web-scraper-order;web-scraper-start-url;review;;
1749059567-1;https://www.amazon.com/product-reviews/B005WPTTG4;The pen is a bit weighty, but it writes very smoothly. It looks very sleek. I use it every day. A great addition to any fountain pen collection.;;
1749059567-2;https://www.amazon.com/product-reviews/B005WPTTG4;Mothers Day gift, This pilot retractable is incredible! I popped in the cartridge, waited 5 minutes and started writing. It’s gorgeous, the weight is perfectly proportional with the clip adding to the overall comfort. I LOVE IT!;;
1749059567-3;https://www.amazon.com/product-reviews/B005WPTTG4;I have taken a liking to retractable fountain pens. I purchased the Majohn A1 Press Fountain Pen (no clip). It was good enough to get me started, but I finally purchase the Pilot Vanishing Point. The Pilot is hands down the best even with the serious upcharge. The mechanism and ink flow is better, the nib is just smoother, and the fact that the Majohn has not clip, and the Pilot does, actually is a detriment for Majohn and a great feature for Pilot and it has nothing to do with clipping in your pocket. Putting the Pilot in your hand aligned with the clip automatically sets the nib in the proper angle and flow—with the Majohn I find myself looking and feeling my way towards that even flow. Both have nice heft, and both fill easily. Pilot for me.;;
1749059567-4;https://www.amazon.com/product-reviews/B005WPTTG4;Honestly what can I say. This is one of, if not the best everyday carry fountain pens on the market. This pen paired with a nice ink that doesn't feather or bleed on cheap paper(like Noodlers Black or Diamine Registrars) is perfect for daily use on any type of paper. No cap to loose track of, nib doesn't dry out, if you do drop it nothing gets damaged(as long as the nib is retracted). Perfect. The only real downside is that, as you have probably heard, the CON-40 is pretty much worthless. Not only does it have a very low capacity but you cant even get it to fill all the way up most the time. SO if you are going to use bottled ink, I would HIGHLY recommend just scooping up some blunt tip syringes for a couple bucks here on amazon and refilling the cartridges. One cartridge can be refilled MANY times, and then you get good ink capacity again(about 0.9ml). Which lasts a LONG time with a fine or extra fine nib.;;
1749059567-5;https://www.amazon.com/product-reviews/B005WPTTG4;"I love how practical this fountain pen is and enjoy taking it with me when I'm out and about.  Especially to work and church.  So quick and easy to activate and put away when not using so the nib doesn't dry out!  Writes wonderful.  I ordered some blue/black ink because the color that came with it is a bit lighter than I prefer.

So glad I took a chance and ordered this pen.  I believe I will end up using it a lot; it is so practical and convenient compared to messing with a cap.";;
1749059567-6;https://www.amazon.com/product-reviews/B005WPTTG4;Wow, writes so smooth. It writes like butter in a Hobonichi. What a wonderful product, I'm so excited I found it! Trying to drum up things I need to write about! The writing experience and balance of this pen are worth the price.;;
1749059567-7;https://www.amazon.com/product-reviews/B005WPTTG4;"The Pilot Vanishing Point is a classic, a mostly amazing pen that certainly deserves a high level of distinction. Unfortunately, it also has some problems that you should be aware of before you decide to buy one.

Packaging is very decent, not quite as nice as it used to be, but you get a sort of cheap-feeling hinged display box.

The pen itself is of course beautiful, with truly excellent build quality and weight. It feels great in the hand, although it does take some getting used to holding it at the clip for writing. The retractable nib mechanism for which the pen is named is impressively well engineered and works flawlessly. Of course that's the whole point.

The nib itself -- I opted for fine point here -- is truly quite fine. And it is a joy to write with. It has a certain springiness or I might even say bounciness, that's absent in any other fountain pen I own, that makes it particularly fun to write with. The writing experience is not what I would call perfectly smooth, but it's also not scratchy per se. It's hard to explain, but the pen delivers a lot of what some people refer to as ""feedback"" and it's basically the feeling of the pen interacting with the paper. Usually I find it to be objectionable in any form, but with this pen I actually quite enjoy it. It's a unique writing experience to be sure.

Now the bad parts...

First and foremost, the pen's converter is, quite bluntly, an overengineered piece of crap. Its piston mechanism is huge, its fill capacity is tiny, and if you fill it via the pen's exceedingly long nib your capacity will be even lower. Furthermore, it is impossible to see the level of the remaining ink without removing the converter and risking a mess. And the converter is extremely tight fitting, but not in a good way if that makes sense. It needs to be forced in and out and you're never quite sure it's been properly seated, until you don't get a leak.

The solution to the majority of the converter problems? Re-use a spent cartridge, and fill it from a syringe. You'll get a much better fill, a much nicer seal, and altogether a better experience. However, syringe filling such an otherwise advanced seeming pen is annoying and feels like it should be unnecessary. I consider this to be a major, major flaw. And since the cartridge needs to be sheathed in a metal sleeve in order to fit into this pen, you still can't see the ink level. Pilot really needs to take another look here.

The second flaw is quite minor, but sort of annoying and something to keep in mind. This issue is a minor leak that can occur inside of the barrel of the pen, due to the quick action of the retraction mechanism. Basically, if you treat this pen like a ballpoint and retract by clicking and then letting go, the nib flies back into the barrel and is then abruptly stopped. A drop of ink that's sitting in the feed can fly back at this point, creating a little pool that you'll have to clean up next time you fill the pen. The good news is, this usually doesn't happen to the point where the pen leaks. The other good news is that you can avoid this issue, by simply being a bit more gentle on the release when you retract the nib. Again, though, I feel that this could have been engineered away, e.g. by slightly softening the retraction mechanism.

All in all, I do recommend this pen. It's pricey, it's a bit flawed, but it's a one-of-a-kind experience that you'll certainly enjoy. Buy yourself some syringes, find some cool ink, and get writing.";;
1749059567-8;https://www.amazon.com/product-reviews/B005WPTTG4;"The thought of having a clip in the way of my fingers made me discount this pen completely.

A friend continually sales pitched me on a vanishing point and since he unfortunately lives in another state, I couldn't actually try his.

After about a month of his pestering, I decided to go ahead and order one.

As soon as I removed it from the box and picked it up, I was very impressed with the weight, balance, and overall feel.  The color and pattern with the rhodium trim match really well.

Not really having an ink that matches the pen, I decided to order some, but it wouldn't arrive until the following day so in the meantime I went ahead and inked it up with Pilot iroshizuku kon-peki since I have all the patience of a child on Christmas morning and wasn't going to wait until the following day.

I ordered the medium since Japanese nibs tend to be a bit finer than western nibs and the line width I'd say is somewhere between a western fine and medium, perhaps even fine in some examples of western nibs.

My biggest concern was whether or not the nib would have a ton of feedback, similar to a Sailor nib.  I have a Sailor 1911L and while I do enjoy writing with it, I've learned that my preference is minimal feedback.  This nib definitely has some feedback, but is basically exactly what I like.

To a lesser extent my other concern is the nib drying out, but as I look down the end of the barrel of the pen and watch how the trap door works, I'm not as concerned.

One of the other reasons I wanted this pen was for a small field notes notebook I carry around.  I have a Galen Leather cover for it, and most of my fountain pens are much too large to carry around, and typically if I'm jotting a note down, unscrewing a cap would take too long whereas this pen is quickly deployed to jot some fast notes down.

If this pen starts giving me issues, I'll make sure to come back to update this review, but I don't see that happening as this pen is well crafted.";;
1749059567-9;https://www.amazon.com/product-reviews/B005WPTTG4;I love this pen! Before this I had a decimo so I had gotten used to the retractable pen and the clip position but the vanishing point is much better, I like the weight and the size. This type of pen took a while to get used to because of the clip position and I’m left handed but once I got used to it, it was all i wanted to use. I love that the nib is 18k gold and on the matte black it’s a gunmetal color which is just lovely. The extra fine nib is so smooth and has some bounce to it. I inked it and it worked straight away. It came with a blue cartridge which I didn’t use, and a con40 which I did use.;;
1749059567-10;https://www.amazon.com/product-reviews/B005WPTTG4;"I was expecting to take at least a week to receive my order.  However, it only took three days.  I placed an order on the 17th, then it was shipped on the 18th, and I finally received it on the 20th.  Cool!

The product includes a conversion cartridge.  So, if you already have a bottle of ink, then just fill it up and it is good to go.  If not, it also includes a disposable cartridge.  A sheet of user's manual accompanies this product.

Pro:  No cap to worry about.  Click -- the nib comes out.  Click again -- the nib retracts.  Its built-in pocket clip makes it very easy to carry around.

Con:  Because of the way the pocket clip is located, it can become a source of discomfort since your index finger will be pressing against it.

I have been using two other fountain pen:  Waterman Phileas medium nib and Waterman Moonlight Hemisphere fine nib.  It took me a while before these two became responsive to my touches.  Pilot Vanishing Point, by contrast, did not need to be broken in at all.  I was able to write smoothly right after I filled up the conversion cartridge for the very first time.  Therefore, insofar as getting started:  Pilot Vanishing Point fine nib > Waterman Moonlight Hemisphere fine nib.  While Pilot Vanishing Point costs more than Waterman Phileas and Moonlight Hemisphere, I would recommend the former over the latter two.

******
Update:  04/24/2012

The twist converter cartridge included with the package can become a source of irritation:  It does not hold that much ink.  An additional source of irritation is that the transparent portion of the converter cartridge is obscured by the metal cylincer surrounding it.  I have noticed that some fountain pen merchants do carry squeeze cartridges for Namiki/Pilot brand fountain pens.  Based on user reviews, squeeze cartridge is superior to screw converter cap.  Unfortunately, Amazon.com is not one of them.

Update:  05/02/2012

5 stars minus 1:  The twist converter seems to be more than a minor nuisance.  Not only its capacity is rather limited (Waterman twist converter capacity is better, but cannot be adopted to Pilot), it does not seem to fit securely.  I have noticed that my pen has been leaking (although not severe enough to stain objects outside the outer casing).  I plan on purchasing a squeeze converter (Con-20) and see if this would solve two problems -- capacity and leaking -- in one go.  I will update this entry as soon as I start using it.

Update:  05/11/2012

Installed Con-20 squeeze converter.  No more leakage.  Better reservoir capacity.  Pilot should include Con-20 squeeze converter instead of Con-50 twist converter as part of its Vanishing Point package.  Why include a substandard converter while there is already a superior counterpart to otherwise a fine writing instrument?

As for the difference in the reservoir capacity between Con-50 and Con-20.  This has to do with the fact that it is next to impossible to completely remove the pocket of air lingering in Con-50 twist converter even after several consecutive draw/purge actions.  In short, its ink reservoir stays underutilized.

Update:  07/26/2012

Upon closer inspection, there are some leakage from the nib groove.  Although, I think this has little to do with mechanical problems.  I have been using Noodler's Black Eel ink and I remember reading something about other Noodler ink users having similar issues.  This leakage is nothing to worry about; it merely coats a part of the nib and does not lead to staining papers.  I wonder if other ink brands have this issue as well, although I will not be shopping for new ink any time soon.

Update:  12/11/2014

Good news: if you are looking for Con-20 converter, it can be found in Amazon.com.";;
