Author;Comment;Likes;Published At
@ivanpavez7378;I hesitated so much to buy this fountain pen But so far it's the best pen I've bought  the Pilot Vanishing Point.;0;2025-04-01T00:53:10Z
@dymetex6360;the fact that i can't fill it completely kinda drives me a little crazy  BUT i love my matte black VP and always inbk it with Iroshizuku Yama Budo;0;2025-03-26T02:29:04Z
@sofiamelo8980;How about cleaning the front part of the penâ€¦? Thanks â¤;0;2025-03-06T17:52:34Z
@Vandebirt;Nice G-Shock my good Man!  I really like your watchâ€¦ Oh!  The Vanishing Point tooâ€¦;0;2025-03-04T06:42:13Z
@danitrivedi;Thank you! This was awesome!;0;2025-02-04T14:15:19Z
@brianrose340;My VP has issues with ink leakage that builds up around the internal nib housing and eventually out around the clip. Can you think of why that is happening and if thereâ€™s anything I can do about it?;1;2025-01-26T03:09:45Z
@karenholden4740;Good video Brian;0;2025-01-24T22:13:28Z
@RubensMateusPadovezeArquimago;;0;2025-01-24T14:31:55Z
@JefferyHall-ct2tr;Hi Brian!  Thanks for the informative video!  Lots of good info here!  Have a great weekend!;1;2025-01-24T14:04:00Z
@seanbrown3512;Thanks Brian  another great video!! I love my VP! On the subject of pilot  any idea when you will restock Iroshizuku Rikka and Syun-gyo?;1;2025-01-24T05:10:07Z
@NecroKitten;Also - if anyone's ever lost their little silver nubbin' for the cartridges/end of the cartridges - if you contact Pilot  they should send you one! I'm in Canada and just had to pay shipping  they sent me a new one easy peasy without questions. :);1;2025-01-23T21:15:40Z
@ivanupton6586;I wish more Pen Brands with Proprietary cartridge/converter styles would do what Majohn does and make empty cartridges with stoppers...;1;2025-01-23T19:54:02Z
@grulice;Ordered my matte black VP with an F nib in November. The nib is rotated clockwise approx 5-10 deg with respect to the clip. It also wrote really dry  until I got it tuned up at a stationery shop  now it writes like a dream. That rotation drives me absolutely nuts every time I look at the pen though ?Ÿ˜¢;2;2025-01-23T12:25:37Z
@afrog2666;"Well  I honestly clicked because I just wanted to hear about something I don`t already know while I look through my subscription feed :p
But hey  it`s good ASMR hehe.";1;2025-01-23T08:30:33Z
@tomlevasseur8550;Itâ€™s been 30 years since I bought a new fountain pen  but my red and gold vanishing point will be here on Friday followed by my Verdigris Pilot custom 743 which should arrive on Saturday along with paper and many ink samples from Goulet Pens.;1;2025-01-23T05:55:49Z
@botezsorinconstantin;This video is for me ?Ÿ˜‚ Yesterday I bought my first 2025 fountain pen  Pilot Capless. Thanks for the video! â¤;1;2025-01-23T05:07:13Z
